Product_name,Brand,Images,Original_price,Sale_price,SKU,Short_description,Short_description_img,Long_description,Category,Tags,Page,Source_link
"Rolex Datejust 36mm Champagne Dial 116243","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/1-72.jpg,https://dealsyity.com/wp-content/uploads/2024/12/1_1-63.jpg,https://dealsyity.com/wp-content/uploads/2024/12/1_2-64-scaled-1.jpg,https://dealsyity.com/wp-content/uploads/2024/12/SKU-CLONE137.jpeg","$399","","CLONE137","<p>Rl</p>","","<p></p>;<table class=""expert-table"">;<tbody>;<tr>;<th>Brand</th>;<td>Rolex</td>;</tr>;<tr>;<th>Model</th>;<td>Datejust</td>;</tr>;<tr>;<th>Reference</th>;<td>116243</td>;</tr>;<tr>;<th>Gender</th>;<td>Men’s watch</td>;</tr>;<tr>;<th>Movement</th>;<td>Kinetic (Automatic)</td>;</tr>;<tr>;<th>Case Diameter</th>;<td>36 mm</td>;</tr>;<tr>;<th>Case Material</th>;<td>Stainless Steel & Yellow Gold Plated set with Diamonds</td>;</tr>;<tr>;<th>Band Material</th>;<td>Stainless Steel & Yellow Gold Plated (Jubilee)</td>;</tr>;<tr>;<th>Dial Color</th>;<td>Champagne</td>;</tr>;<tr>;<th>Quality</th>;<td>Premium ETA-Type Movement</td>;</tr>;<tr>;<th>Glass</th>;<td>Sapphire crystal</td>;</tr>;<tr>;<th>Water Resistance</th>;<td>Waterproof up to 30 meters.</td>;</tr>;</tbody>;</table>","watches","#Ads-Lists-men","1","https://dealsyity.com/shop/rolex/datejust/rolex-datejust-36mm-champagne-dial-116243/"
"Rolex Datejust 36mm Mother of Pearl – White Dial 116233","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/1-51.jpg,https://dealsyity.com/wp-content/uploads/2024/12/1_1-47.jpg,https://dealsyity.com/wp-content/uploads/2024/12/1_2-47.jpg","$399","","CLONE117","<p>Rl</p>","","</p>;<table class=""expert-table"">;<tbody>;<tr>;<th>Brand</th>;<td>Rolex</td>;</tr>;<tr>;<th>Model</th>;<td>Datejust</td>;</tr>;<tr>;<th>Reference</th>;<td>116233</td>;</tr>;<tr>;<th>Gender</th>;<td>Men’s watch</td>;</tr>;<tr>;<th>Movement</th>;<td>Kinetic (Automatic)</td>;</tr>;<tr>;<th>Case Diameter</th>;<td>36 mm</td>;</tr>;<tr>;<th>Case Material</th>;<td>Stainless Steel & Yellow Gold Plated</td>;</tr>;<tr>;<th>Band Material</th>;<td>Stainless Steel & Yellow Gold Plated (Jubilee)</td>;</tr>;<tr>;<th>Dial Color</th>;<td>Mother of Pearl – White</td>;</tr>;<tr>;<th>Quality</th>;<td>Japanese (Miyota)</td>;</tr>;<tr>;<th>Glass</th>;<td>Sapphire crystal</td>;</tr>;<tr>;<th>Water Resistance</th>;<td>Waterproof up to 30 meters.</td>;</tr>;</tbody>;</table>","watches","#Ads-Lists-men","1","https://dealsyity.com/shop/for-men/mens-watches/rolex-datejust-36mm-mother-of-pearl-white-dial-116233/"
"Rolex Datejust 36mm Blue Dial 116234","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/1-78.jpg,https://dealsyity.com/wp-content/uploads/2024/12/1_1-68.jpg,https://dealsyity.com/wp-content/uploads/2024/12/1_2-69.jpg","$399","","CLONE144","<p>Rl</p>","","</p>;<table class=""expert-table"">;<tbody>;<tr>;<th>Brand</th>;<td>Rolex</td>;</tr>;<tr>;<th>Model</th>;<td>Datejust</td>;</tr>;<tr>;<th>Reference</th>;<td>116234</td>;</tr>;<tr>;<th>Gender</th>;<td>Men’s watch</td>;</tr>;<tr>;<th>Movement</th>;<td>Kinetic (Automatic)</td>;</tr>;<tr>;<th>Case Diameter</th>;<td>36 mm</td>;</tr>;<tr>;<th>Case Material</th>;<td>Stainless Steel & White Gold Plated</td>;</tr>;<tr>;<th>Band Material</th>;<td>316 Grade Stainless Steel (Jubilee)</td>;</tr>;<tr>;<th>Dial Color</th>;<td>Blue</td>;</tr>;<tr>;<th>Quality</th>;<td>Japanese (Miyota)</td>;</tr>;<tr>;<th>Glass</th>;<td>Sapphire crystal</td>;</tr>;<tr>;<th>Water Resistance</th>;<td>Waterproof up to 30 meters.</td>;</tr>;</tbody>;</table>","watches","#Ads-Lists-men","1","https://dealsyity.com/shop/for-men/mens-watches/rolex-datejust-36mm-blue-dial-116234/"
"Rolex Datejust 36mm Mother of Pearl – White Dial 116244","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/1-57.jpg,https://dealsyity.com/wp-content/uploads/2024/12/1_1205.jpg,https://dealsyity.com/wp-content/uploads/2024/12/1_1206.jpg,https://dealsyity.com/wp-content/uploads/2024/12/DE61719.jpeg","$369","","CLONE123","<p>Rl</p>","","<div>;<div></div>;</div>;<p></p>;<table class=""expert-table"">;<tbody>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Brand</span></th>;<td><span style=""font-size: 14.4px"">Rolex</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Model</span></th>;<td><span style=""font-size: 14.4px"">Datejust</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Reference</span></th>;<td><span style=""font-size: 14.4px"">116244</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Gender</span></th>;<td><span style=""font-size: 14.4px"">Women’s watch</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Movement</span></th>;<td><span style=""font-size: 14.4px"">Kinetic (Automatic)</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Case Diameter</span></th>;<td><span style=""font-size: 14.4px"">36 mm</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Case Material</span></th>;<td><span style=""font-size: 14.4px"">Steel set with Diamonds</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Band Material</span></th>;<td><span style=""font-size: 14.4px"">316 Grade Stainless Steel (Jubilee)</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Dial Color</span></th>;<td><span style=""font-size: 14.4px"">Mother of Pearl – White</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Quality</span></th>;<td><span style=""font-size: 14.4px"">Japanese (Miyota)</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Glass</span></th>;<td><span style=""font-size: 14.4px"">Sapphire crystal</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Water Resistance</span></th>;<td><span style=""font-size: 14.4px"">Waterproof up to 30 meters.</span></td>;</tr>;</tbody>;</table>","watches","#women","1","https://dealsyity.com/shop/rolex/datejust/rolex-datejust-36mm-mother-of-pearl-white-dial-116244/"
"Rolex Datejust 36mm White Dial 116231","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/Rolex-Datejust-116231-Replica.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Fake-Rolex-Datejust-116231.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-Datejust-116231-Imitation-Watch.jpg","$399","","CLONE63","<p>Rl</p>","","<div>;<div></div>;<div>;<div id=""col-319433068"" class=""col small-12 large-12"">;<div></div>;</div>;</div>;</div>;<table class=""expert-table"">;<tbody>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Brand</span></th>;<td><span style=""font-size: 14.4px"">Rolex</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Model</span></th>;<td><span style=""font-size: 14.4px"">Datejust</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Reference</span></th>;<td><span style=""font-size: 14.4px"">116231</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Gender</span></th>;<td><span style=""font-size: 14.4px"">Men’s watch</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Movement</span></th>;<td><span style=""font-size: 14.4px"">Kinetic (Automatic)</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Case Diameter</span></th>;<td><span style=""font-size: 14.4px"">36 mm</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Case Material</span></th>;<td><span style=""font-size: 14.4px"">Gold Plated</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Band Material</span></th>;<td><span style=""font-size: 14.4px"">Stainless Steel & Gold Plated</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Dial Color</span></th>;<td><span style=""font-size: 14.4px"">White</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Quality</span></th>;<td><span style=""font-size: 14.4px"">Japanese (Miyota)</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Glass</span></th>;<td><span style=""font-size: 14.4px"">Sapphire crystal</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Water Resistance</span></th>;<td><span style=""font-size: 14.4px"">Waterproof up to 30 meters.</span></td>;</tr>;</tbody>;</table>","watches","#Ads-Lists-men","1","https://dealsyity.com/shop/for-men/mens-watches/rolex-datejust-36mm-white-dial-116231/"
"Rolex Datejust 36mm Black Jubilee Dial 116233","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/1-47.jpg,https://dealsyity.com/wp-content/uploads/2024/12/1_1-43.jpg,https://dealsyity.com/wp-content/uploads/2024/12/1_2-43.jpg","$399","","CLONE114","<p>Rl</p>","","<div class=""row"" id=""row-1045040600"">;<div id=""col-431691398"" class=""col small-12 large-12"">;<div class=""col-inner"">;<div class=""video video-fit mb"" style=""padding-top:56.25%"">;</div></div>;</p></div>;</div>;<table class=""expert-table"">;<tbody>;<tr>;<th>Brand</th>;<td>Rolex</td>;</tr>;<tr>;<th>Model</th>;<td>Datejust</td>;</tr>;<tr>;<th>Reference</th>;<td>116233</td>;</tr>;<tr>;<th>Gender</th>;<td>Men’s watch</td>;</tr>;<tr>;<th>Movement</th>;<td>Kinetic (Automatic)</td>;</tr>;<tr>;<th>Case Diameter</th>;<td>36 mm</td>;</tr>;<tr>;<th>Case Material</th>;<td>Stainless Steel & Yellow Gold Plated</td>;</tr>;<tr>;<th>Band Material</th>;<td>Stainless Steel & Yellow Gold Plated (Jubilee)</td>;</tr>;<tr>;<th>Dial Color</th>;<td>Black Jubilee</td>;</tr>;<tr>;<th>Quality</th>;<td>Japanese (Miyota)</td>;</tr>;<tr>;<th>Glass</th>;<td>Sapphire crystal</td>;</tr>;<tr>;<th>Water Resistance</th>;<td>Waterproof up to 30 meters.</td>;</tr>;</tbody>;</table>","watches","#Ads-Lists-men","1","https://dealsyity.com/shop/for-men/mens-watches/rolex-datejust-36mm-black-jubilee-dial-116233/"
"Rolex Datejust 36mm Palm Motif Dial 126234-0047","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/126234-Olive-Green-Palm-Jubilee.jpeg,https://dealsyity.com/wp-content/uploads/2024/12/i1648210273_6604_1.jpeg,https://dealsyity.com/wp-content/uploads/2024/12/i1648210273_7741_2.jpeg,https://dealsyity.com/wp-content/uploads/2024/12/i1648210273_1353_7.jpeg,https://dealsyity.com/wp-content/uploads/2024/12/i1648210273_3989_6.jpeg,https://dealsyity.com/wp-content/uploads/2024/12/i1648210273_6583_8.jpeg,https://dealsyity.com/wp-content/uploads/2024/12/i1648210273_9038_4.jpeg","$399","","126234-0047","<p>Rl</p>","","</p>;<table class=""expert-table"">;<tbody>;<tr>;<th>Brand</th>;<td>Rolex</td>;</tr>;<tr>;<th>Model</th>;<td>Datejust</td>;</tr>;<tr>;<th>Reference</th>;<td>126234</td>;</tr>;<tr>;<th>Gender</th>;<td>Men’s watch</td>;</tr>;<tr>;<th>Movement</th>;<td>Kinetic (Automatic)</td>;</tr>;<tr>;<th>Case Diameter</th>;<td>36 mm</td>;</tr>;<tr>;<th>Case Material</th>;<td>316 Grade Stainless Steel</td>;</tr>;<tr>;<th>Band Material</th>;<td>316 Grade Stainless Steel (Oyster)</td>;</tr>;<tr>;<th>Dial Color</th>;<td>Green</td>;</tr>;<tr>;<th>Quality</th>;<td>Japanese (Miyota)</td>;</tr>;<tr>;<th>Glass</th>;<td>Sapphire crystal</td>;</tr>;<tr>;<th>Water Resistance</th>;<td>Waterproof up to 30 meters.</td>;</tr>;</tbody>;</table>","watches","#Ads-Lists-men","1","https://dealsyity.com/shop/for-men/mens-watches/rolex-datejust-36mm-palm-motif-dial-126234-0047/"
"Rolex Datejust 36mm Black Dial 116233","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/Two-Tone-Datejust-116233-Replica.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Two-Tone-Datejust-116233-Imitation-Watch.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Fake-Two-Tone-Datejust-116233.jpg","$369","","CLONE68","<p>Rl</p>","","<div>;<div></div>;<div>;<div id=""col-183361392"" class=""col small-12 large-12"">;<div></div>;</div>;</div>;</div>;<table class=""expert-table"">;<tbody>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Brand</span></th>;<td><span style=""font-size: 14.4px"">Rolex</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Model</span></th>;<td><span style=""font-size: 14.4px"">Datejust</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Reference</span></th>;<td><span style=""font-size: 14.4px"">116233</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Gender</span></th>;<td><span style=""font-size: 14.4px"">Men’s watch</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Movement</span></th>;<td><span style=""font-size: 14.4px"">Kinetic (Automatic)</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Case Diameter</span></th>;<td><span style=""font-size: 14.4px"">36 mm</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Case Material</span></th>;<td><span style=""font-size: 14.4px"">Gold Plated</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Band Material</span></th>;<td><span style=""font-size: 14.4px"">Stainless Steel & Gold Plated</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Dial Color</span></th>;<td><span style=""font-size: 14.4px"">Black</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Quality</span></th>;<td><span style=""font-size: 14.4px"">Japanese (Miyota)</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Glass</span></th>;<td><span style=""font-size: 14.4px"">Sapphire crystal</span></td>;</tr>;<tr>;<th><span style=""font-size: 14.4px;font-weight: 400"">Water Resistance</span></th>;<td><span style=""font-size: 14.4px"">Waterproof up to 30 meters.</span></td>;</tr>;</tbody>;</table>","watches","#Ads-Lists-men","1","https://dealsyity.com/shop/rolex/datejust/rolex-datejust-36mm-black-dial-116233/"
"Rolex Datejust 36/28mm RG/SS Jub Black/Dia","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-BlackDia.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-BlackDia-1.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-BlackDia-2.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-BlackDia-3.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-BlackDia-4.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-BlackDia-5.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-BlackDia-6.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-BlackDia-7.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-BlackDia-8.jpg","$345","","COUPLE8","<p>Rl</p>","","</p>;<table class=""expert-table"">;<tbody>;<tr>;<th>MOVEMENT</th>;<td>36mm:Japanese Miyota 8215 Automatic Movement, 28mm:Miyota 6T51 Automatic Movement</td>;</tr>;<tr>;<th>CASE DIAMETER</th>;<td>36/28mm</td>;</tr>;<tr>;<th>THICKNESS</th>;<td>12.5mm</td>;</tr>;<tr>;<th>DIAL COLOR</th>;<td>Black Dial with Diamond Markers</td>;</tr>;<tr>;<th>CASE MATERIAL</th>;<td>Solid 316L Stainless Steel</td>;</tr>;<tr>;<th>BRACELET</th>;<td>Two Tone 18K Rose Gold Plated Solid 316L Stainless Steel with Deployant Buckle</td>;</tr>;<tr>;<th>FRONT GLASS</th>;<td>Scratch-proof Sapphire Crystal</td>;</tr>;<tr>;<th>CASE BACK</th>;<td>Solid case back with detailed engraving</td>;</tr>;<tr>;<th>BEZEL</th>;<td>Fluted Bezel</td>;</tr>;<tr>;<th>CLASP TYPE</th>;<td>Deployant Buckle</td>;</tr>;<tr>;<th>DATE INDICATOR</th>;<td>At 3:00 Position (Adjusted via Crown)</td>;</tr>;<tr>;<th>OTHER REMARKS</th>;<td>Waterproofed to 30m direct from Factory</td>;</tr>;</tbody>;</table>","watches","","1","https://dealsyity.com/shop/rolex/datejust/rolex-datejust-36-28mm-rg-ss-jub-black-dia/"
"Rolex Datejust 36/28mm RG/SS Jub Green/Dial","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-GreenDia.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-GreenDia-1.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-GreenDia-2.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-GreenDia-3.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-GreenDia-4.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-GreenDia-5.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-GreenDia-6.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-GreenDia-7.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-GreenDia-8.jpg","$345","","COUPLE17","<p>Rl</p>","","<table class=""expert-table"">;<tbody>;<tr>;<th>MOVEMENT</th>;<td>36mm:Japanese Miyota 8215 Automatic Movement, 28mm:Miyota 6T51 Automatic Movement</td>;</tr>;<tr>;<th>CASE DIAMETER</th>;<td>36/28mm</td>;</tr>;<tr>;<th>THICKNESS</th>;<td>12.5mm</td>;</tr>;<tr>;<th>DIAL COLOR</th>;<td>Green Dial with Diamond Markers</td>;</tr>;<tr>;<th>CASE MATERIAL</th>;<td>Solid 316L Stainless Steel</td>;</tr>;<tr>;<th>BRACELET</th>;<td>Two Tone 18K Rose Gold Plated Solid 316L Stainless Steel with Deployant Buckle </td>;</tr>;<tr>;<th>FRONT GLASS</th>;<td>Scratch-proof Sapphire Crystal</td>;</tr>;<tr>;<th>CASE BACK</th>;<td>Solid case back with detailed engraving </td>;</tr>;<tr>;<th>BEZEL</th>;<td>Fluted Bezel </td>;</tr>;<tr>;<th>CLASP TYPE</th>;<td>Deployant Buckle</td>;</tr>;<tr>;<th>DATE INDICATOR</th>;<td>At 3:00 Position (Adjusted via Crown)</td>;</tr>;<tr>;<th>OTHER REMARKS</th>;<td>Waterproofed to 30m direct from Factory</td>;</tr>;</tbody>;</table>","watches","","1","https://dealsyity.com/shop/rolex/datejust/rolex-datejust-36-28mm-rg-ss-jub-green-dial/"
"Rolex Datejust 36mm Black Dial 116231-3","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/1-141.jpg,https://dealsyity.com/wp-content/uploads/2024/12/1_1-123.jpg,https://dealsyity.com/wp-content/uploads/2024/12/1_2-123.jpg","$399","","CLONE204","<p>Rl</p>","","</p>;<table class=""expert-table"">;<tbody>;<tr>;<th>Brand</th>;<td>Rolex</td>;</tr>;<tr>;<th>Model</th>;<td>Datejust</td>;</tr>;<tr>;<th>Reference</th>;<td>116231</td>;</tr>;<tr>;<th>Gender</th>;<td>Men’s watch</td>;</tr>;<tr>;<th>Movement</th>;<td>Kinetic (Automatic)</td>;</tr>;<tr>;<th>Case Diameter</th>;<td>36 mm</td>;</tr>;<tr>;<th>Case Material</th>;<td>Stainless Steel & Rose Gold Plated</td>;</tr>;<tr>;<th>Band Material</th>;<td>Stainless Steel & Rose Gold Plated (Jubilee)</td>;</tr>;<tr>;<th>Dial Color</th>;<td>Black</td>;</tr>;<tr>;<th>Quality</th>;<td>Japanese (Miyota)</td>;</tr>;<tr>;<th>Glass</th>;<td>Sapphire crystal</td>;</tr>;<tr>;<th>Water Resistance</th>;<td>Waterproof up to 30 meters.</td>;</tr>;</tbody>;</table>","watches","#Ads-Lists-men","1","https://dealsyity.com/shop/for-men/mens-watches/rolex-datejust-36mm-black-dial-116231-3/"
"Rolex Datejust 36/28mm RG/SS Jub Gold/Dial","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-GoldDia.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-GoldDia-1.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-GoldDia-2.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-GoldDia-3.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-GoldDia-4.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-GoldDia-5.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-GoldDia-6.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-GoldDia-7.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-RGSS-Jub-GoldDia-8.jpg","$345","","COUPLE6","<p>Rl</p>","","<table class=""expert-table"">;<tbody>;<tr>;<th>MOVEMENT</th>;<td>36mm:Japanese Miyota 8215 Automatic Movement, 28mm:Miyota 6T51 Automatic Movement</td>;</tr>;<tr>;<th>CASE DIAMETER</th>;<td>36/28mm</td>;</tr>;<tr>;<th>THICKNESS</th>;<td>12.5mm</td>;</tr>;<tr>;<th>DIAL COLOR</th>;<td>Gold Dial with Diamond Markers</td>;</tr>;<tr>;<th>CASE MATERIAL</th>;<td>Solid 316L Stainless Steel</td>;</tr>;<tr>;<th>BRACELET</th>;<td>Two Tone 18K Rose Gold Plated Solid 316L Stainless Steel with Deployant Buckle</td>;</tr>;<tr>;<th>FRONT GLASS</th>;<td>Scratch-proof Sapphire Crystal</td>;</tr>;<tr>;<th>CASE BACK</th>;<td>Solid case back with detailed engraving</td>;</tr>;<tr>;<th>BEZEL</th>;<td>Fluted Bezel</td>;</tr>;<tr>;<th>CLASP TYPE</th>;<td>Deployant Buckle</td>;</tr>;<tr>;<th>DATE INDICATOR</th>;<td>At 3:00 Position (Adjusted via Crown)</td>;</tr>;<tr>;<th>OTHER REMARKS</th>;<td>Waterproofed to 30m direct from Factory</td>;</tr>;</tbody>;</table>","watches","","1","https://dealsyity.com/shop/rolex/datejust/rolex-datejust-36-28mm-rg-ss-jub-gold-dial/"
"Rolex Datejust 36/28mm SS/SS Jub Sliver/Dia","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-SSSS-Jub-SliverDia.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-SSSS-Jub-SliverDia-1.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-SSSS-Jub-SliverDia-2.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-SSSS-Jub-SliverDia-3.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-SSSS-Jub-SliverDia-4.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-SSSS-Jub-SliverDia-5.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-SSSS-Jub-SliverDia-6.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Replica-Rolex-Datejust-3628mm-SSSS-Jub-SliverDia-7.jpg","$345","","COUPLE9","<p>Rl</p>","","</p>;<table class=""expert-table"">;<tbody>;<tr>;<th>MOVEMENT</th>;<td>36mm:Japanese Miyota 8215 Automatic Movement, 28mm:Miyota 6T51 Automatic Movement</td>;</tr>;<tr>;<th>CASE DIAMETER</th>;<td>36/28mm</td>;</tr>;<tr>;<th>THICKNESS</th>;<td>12.5mm</td>;</tr>;<tr>;<th>DIAL COLOR</th>;<td>Sliver Dial with Diamond Markers</td>;</tr>;<tr>;<th>CASE MATERIAL</th>;<td>Solid 316L Stainless Steel</td>;</tr>;<tr>;<th>BRACELET</th>;<td>Solid 316L Stainless Steel with Deployant Buckle</td>;</tr>;<tr>;<th>FRONT GLASS</th>;<td>Scratch-proof Sapphire Crystal</td>;</tr>;<tr>;<th>CASE BACK</th>;<td>Solid case back with detailed engraving</td>;</tr>;<tr>;<th>BEZEL</th>;<td>Fluted Bezel</td>;</tr>;<tr>;<th>CLASP TYPE</th>;<td>Deployant Buckle</td>;</tr>;<tr>;<th>DATE INDICATOR</th>;<td>At 3:00 Position (Adjusted via Crown)</td>;</tr>;<tr>;<th>OTHER REMARKS</th>;<td>Waterproofed to 30m direct from Factory</td>;</tr>;</tbody>;</table>","watches","","1","https://dealsyity.com/shop/rolex/datejust/rolex-datejust-36-28mm-ss-ss-jub-sliver-dia/"
